Step,CPU(%),Memory(%),Latency(ms),ErrorRate,RPS,ThreadQueue(%),Agent_Action,Reward
0,14.4459305,49.520588,79.46458,0.0,785.313,28.424717,A2: HORIZONTAL POD AUTOSCALING (HPA),-20.0
1,19.594627,50.231266,97.95384,0.0,448.19064,32.0212,A2: HORIZONTAL POD AUTOSCALING (HPA),-20.0
2,10.548581,57.313683,117.80278,0.0,462.46585,35.744247,A2: HORIZONTAL POD AUTOSCALING (HPA),-20.0
3,8.3865385,56.170017,123.76921,0.0,368.43326,44.16651,A2: HORIZONTAL POD AUTOSCALING (HPA),-20.0
4,9.219885,59.380463,132.84818,0.0,171.44586,44.773407,A4: LOAD SHEDDING,-20.0
5,19.59387,66.49243,145.7695,0.0,321.39246,44.131958,A4: LOAD SHEDDING,-20.0
6,17.052172,73.16873,159.31174,0.0,140.44313,44.3597,A4: LOAD SHEDDING,-20.0
7,11.204469,73.44416,149.3343,0.0,246.3316,48.040333,A4: LOAD SHEDDING,-20.0
8,17.298231,73.12085,139.81612,0.0,342.08356,46.964844,A4: LOAD SHEDDING,-20.0
9,8.947941,73.65116,130.37547,0.0,0.0,48.008293,A4: LOAD SHEDDING,-20.0
10,10.276433,72.327415,131.51738,0.0,414.84204,57.059956,A2: HORIZONTAL POD AUTOSCALING (HPA),-20.0
11,9.423366,73.763985,147.5604,0.0,264.72324,60.67046,A4: LOAD SHEDDING,-20.0
12,7.5911136,73.03835,471.53598,0.0,0.0,71.583824,A4: LOAD SHEDDING,50.0
13,10.626007,35.59673,470.20306,0.0,0.0,21.946564,A1: GRACEFUL POD EVICTION,50.0
14,15.45965,21.286566,460.47574,0.0,296.55746,0.7138499,A1: GRACEFUL POD EVICTION,50.0
15,20.045376,19.208464,453.50763,0.0,496.93307,5.847177,A1: GRACEFUL POD EVICTION,50.0
16,21.574795,22.9731,462.6606,0.0,300.19278,13.013459,A1: GRACEFUL POD EVICTION,50.0
17,22.849432,26.19096,478.4325,0.0,272.63574,10.449671,A1: GRACEFUL POD EVICTION,50.0
18,20.060593,24.170538,478.12726,0.0,176.5071,3.0652287,A1: GRACEFUL POD EVICTION,50.0
19,17.442194,21.134111,473.9738,0.0,457.21472,8.247284,A1: GRACEFUL POD EVICTION,50.0
20,22.399193,27.831177,492.6191,0.0,638.19556,10.614524,A1: GRACEFUL POD EVICTION,50.0
21,18.186796,31.187565,490.11523,0.0,78.22909,20.06149,A4: LOAD SHEDDING,50.0
22,14.682629,20.70147,500.8838,0.0,93.680756,3.9797835,A1: GRACEFUL POD EVICTION,50.0
23,20.35847,24.352657,507.72092,0.0,180.94287,1.7978511,A1: GRACEFUL POD EVICTION,50.0
24,26.776447,23.450027,526.1442,0.0,257.55344,5.973611,A1: GRACEFUL POD EVICTION,50.0
25,34.848335,19.65571,545.95044,0.0,4111.894,9.320538,A1: GRACEFUL POD EVICTION,50.0
26,12.772876,27.0772,555.42194,0.0,132.21146,10.836542,A4: LOAD SHEDDING,50.0
27,11.470236,18.14767,571.8568,0.0,62.84725,7.4125843,A1: GRACEFUL POD EVICTION,50.0
28,15.539394,25.409481,577.6037,0.0,231.78775,0.0,A1: GRACEFUL POD EVICTION,50.0
29,17.62545,25.139582,591.75195,0.0,376.39215,8.545644,A1: GRACEFUL POD EVICTION,50.0
30,22.921719,21.51133,601.3025,0.0,648.49963,12.012515,A1: GRACEFUL POD EVICTION,50.0
31,22.645071,22.598793,603.7288,0.0,854.30566,5.9324565,A1: GRACEFUL POD EVICTION,50.0
32,9.98039,26.621197,609.9619,0.0,0.0,11.586734,A4: LOAD SHEDDING,50.0
33,7.0627556,18.939928,605.7899,0.0,0.0,3.7663043,A1: GRACEFUL POD EVICTION,50.0
34,8.177701,22.647001,606.40784,0.0,105.07752,5.0582743,A1: GRACEFUL POD EVICTION,50.0
35,8.317214,22.279171,624.8939,0.0,14.334335,12.314683,A1: GRACEFUL POD EVICTION,50.0
36,9.304027,18.044353,619.1236,0.0,147.37398,0.78623223,A1: GRACEFUL POD EVICTION,50.0
37,11.235349,19.470245,634.86957,0.0,69.94923,12.307442,A1: GRACEFUL POD EVICTION,50.0
38,20.770428,24.881195,643.91113,0.0,51.023346,6.563452,A1: GRACEFUL POD EVICTION,50.0
39,20.761404,25.270855,663.90625,0.0,4741.3745,10.9174,A1: GRACEFUL POD EVICTION,50.0
40,19.183716,25.838543,665.6918,0.0,862.52527,14.948013,A4: LOAD SHEDDING,50.0
41,9.647222,27.100788,672.71497,0.0,210.27611,20.946157,A4: LOAD SHEDDING,50.0
42,5.894588,22.515606,663.1219,0.0,321.01343,0.81599027,A1: GRACEFUL POD EVICTION,50.0
43,12.749123,27.786959,681.02136,0.0,3233.106,0.0,A1: GRACEFUL POD EVICTION,50.0
44,7.2677116,30.780998,697.8669,0.0,0.0,9.661387,A4: LOAD SHEDDING,50.0
45,14.8721485,26.639349,712.30865,0.0,0.0,1.8031187,A1: GRACEFUL POD EVICTION,50.0
46,16.116312,26.176125,709.9877,0.0,0.0,7.817126,A1: GRACEFUL POD EVICTION,50.0
47,14.008355,19.542477,700.45105,0.0,213.41154,5.182089,A1: GRACEFUL POD EVICTION,50.0
48,14.73583,23.166466,697.2313,0.0,221.85422,5.55522,A1: GRACEFUL POD EVICTION,50.0
49,22.014595,26.380358,696.4048,0.0,309.74323,9.421052,A1: GRACEFUL POD EVICTION,50.0
